transicao,celula,entidade,antes,depois,natureza,esperada,justificativa
v5_input -> v5_validado,M39,retirada_condensado_grupo@L4_L5,"(
    (100 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2))
    if hes_l4 == ""Normal"" and hes_l5 == ""Normal""
    else (
        (
            (
                (100 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2)) * 14
                + (
                    (100 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2)) / 2
                ) * 10
            ) / 24
        )
        if hes_l4 == ""LC"" or hes_l5 == ""LC""
        else (
            50 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2)
        )
        if hes_l4 == ""Overhaul/Parada"" or hes_l5 == ""Overhaul/Parada""
        else (
            100
            - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2)
            - desconto_retirada_41d
        )
        if hes_l4 == ""1 By pass"" or hes_l5 == ""1 By pass""
        else (
            (
                (
                    (100 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2)) * 14
                    + (
                        (
                            (100 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2))
                            - desconto_retirada_41c
                        ) / 2
                    ) * 10
                ) / 24
            )
            if hes_l4 == ""1 By pass e LC""
            and hes_l5 == ""1 By pass e LC""
            else ""F""
        )
    )
)","(
    (100 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2))
    if hes_l4@L4 == ""Normal"" and hes_l5@L5 == ""Normal""
    else (
        (
            (
                (100 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2)) * 14
                + (
                    (100 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2)) / 2
                ) * 10
            ) / 24
        )
        if hes_l4@L4 == ""LC"" or hes_l5@L5 == ""LC""
        else (
            50 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2)
        )
        if hes_l4@L4 == ""Overhaul/Parada"" or hes_l5@L5 == ""Overhaul/Parada""
        else (
            100
            - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2)
            - desconto_retirada_41d
        )
        if hes_l4@L4 == ""1 By pass"" or hes_l5@L5 == ""1 By pass""
        else (
            (
                (
                    (100 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2)) * 14
                    + (
                        (
                            (100 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2))
                            - desconto_retirada_41c
                        ) / 2
                    ) * 10
                ) / 24
            )
            if hes_l4@L4 == ""1 By pass e LC""
            and hes_l5@L5 == ""1 By pass e LC""
            else ""F""
        )
    )
)",expression (D2),sim,hes_lN -> hes_lN@LN (referência implícita não desce do grupo à linha).
v5_input -> v5_validado,P39,retirada_condensado_grupo@L4_L5,,numeric,value_type (D1),sim,Contrato value_type da Etapa 1.
v5_input -> v5_validado,P40,retirada_condensado_grupo@L4_L5,,numeric,value_type (D1),sim,Contrato value_type da Etapa 1.
v5_input -> v5_validado,P41,retirada_condensado_grupo@L4_L5,,numeric,value_type (D1),sim,Contrato value_type da Etapa 1.
v5_input -> v5_validado,M42,retirada_condensado_grupo@L6_L7,"(
    (100 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2))
    if hes_l6 == ""Normal"" and hes_l7 == ""Normal""
    else (
        (
            (
                (100 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2)) * 14
                + (
                    (100 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2)) / 2
                ) * 10
            ) / 24
        )
        if hes_l6 == ""LC"" or hes_l7 == ""LC""
        else (
            50 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2)
        )
        if hes_l6 == ""Overhaul/Parada"" or hes_l7 == ""Overhaul/Parada""
        else (
            100
            - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2)
            - desconto_retirada_41c
        )
        if hes_l6 == ""1 By pass"" or hes_l7 == ""1 By pass""
        else (
            (
                (
                    (100 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2)) * 14
                    + (
                        (
                            (100 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2))
                            - desconto_retirada_41c
                        ) / 2
                    ) * 10
                ) / 24
            )
            if hes_l6 == ""1 By pass e LC""
            and hes_l7 == ""1 By pass e LC""
            else ""F""
        )
    )
)","(
    (100 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2))
    if hes_l6@L6 == ""Normal"" and hes_l7@L7 == ""Normal""
    else (
        (
            (
                (100 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2)) * 14
                + (
                    (100 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2)) / 2
                ) * 10
            ) / 24
        )
        if hes_l6@L6 == ""LC"" or hes_l7@L7 == ""LC""
        else (
            50 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2)
        )
        if hes_l6@L6 == ""Overhaul/Parada"" or hes_l7@L7 == ""Overhaul/Parada""
        else (
            100
            - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2)
            - desconto_retirada_41c
        )
        if hes_l6@L6 == ""1 By pass"" or hes_l7@L7 == ""1 By pass""
        else (
            (
                (
                    (100 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2)) * 14
                    + (
                        (
                            (100 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2))
                            - desconto_retirada_41c
                        ) / 2
                    ) * 10
                ) / 24
            )
            if hes_l6@L6 == ""1 By pass e LC""
            and hes_l7@L7 == ""1 By pass e LC""
            else ""F""
        )
    )
)",expression (D2),sim,hes_lN -> hes_lN@LN (referência implícita não desce do grupo à linha).
v5_input -> v5_validado,P42,retirada_condensado_grupo@L6_L7,,numeric,value_type (D1),sim,Contrato value_type da Etapa 1.
v5_input -> v5_validado,P43,retirada_condensado_grupo@L6_L7,,numeric,value_type (D1),sim,Contrato value_type da Etapa 1.
v5_input -> v5_validado,P44,retirada_condensado_grupo@L6_L7,,numeric,value_type (D1),sim,Contrato value_type da Etapa 1.
v5_input -> v5_validado,P45,retirada_condensado_linha@L1,,numeric,value_type (D1),sim,Contrato value_type da Etapa 1.
v5_input -> v5_validado,P46,retirada_condensado_linha@L2,,numeric,value_type (D1),sim,Contrato value_type da Etapa 1.
v5_input -> v5_validado,P47,retirada_condensado_linha@L3,,numeric,value_type (D1),sim,Contrato value_type da Etapa 1.
v5_input -> v5_validado,P48,retirada_condensado_linha@L4,,numeric,value_type (D1),sim,Contrato value_type da Etapa 1.
v5_input -> v5_validado,P49,retirada_condensado_linha@L5,,numeric,value_type (D1),sim,Contrato value_type da Etapa 1.
v5_input -> v5_validado,P50,retirada_condensado_linha@L6,,numeric,value_type (D1),sim,Contrato value_type da Etapa 1.
v5_input -> v5_validado,P51,retirada_condensado_linha@L7,,numeric,value_type (D1),sim,Contrato value_type da Etapa 1.
v5_input -> v5_validado,P52,retirada_condensado_linha@L1_L7,,numeric,value_type (D1),sim,Contrato value_type da Etapa 1.
v5_input -> v5_validado,P53,retirada_condensado_linha@L1_L7,,numeric,value_type (D1),sim,Contrato value_type da Etapa 1.
v5_input -> v5_validado,P54,retirada_condensado_total@L1_L7,,numeric,value_type (D1),sim,Contrato value_type da Etapa 1.
v5_input -> v5_validado,P55,retirada_condensado_total@L1_L7,,numeric,value_type (D1),sim,Contrato value_type da Etapa 1.
v5_input -> v5_validado,P56,retirada_condensado_total@L1_L7,,numeric,value_type (D1),sim,Contrato value_type da Etapa 1.
v5_validado -> v6_recebido,P1,(cabeçalho),Variables,,value_type (D1) AUSENTE,sim,v6 recebido derivado do v5_input: perdeu D1.
v5_validado -> v6_recebido,P2,(cabeçalho),value_type,,value_type (D1) AUSENTE,sim,v6 recebido derivado do v5_input: perdeu D1.
v5_validado -> v6_recebido,P3,vazao_ltp@L1_L3,numeric,,value_type (D1) AUSENTE,sim,v6 recebido derivado do v5_input: perdeu D1.
v5_validado -> v6_recebido,P4,vazao_ltp@L4_L5,numeric,,value_type (D1) AUSENTE,sim,v6 recebido derivado do v5_input: perdeu D1.
v5_validado -> v6_recebido,P5,vazao_ltp@L6_L7,numeric,,value_type (D1) AUSENTE,sim,v6 recebido derivado do v5_input: perdeu D1.
v5_validado -> v6_recebido,P6,retirada_cond_corr_ltp@L1_L3,numeric,,value_type (D1) AUSENTE,sim,v6 recebido derivado do v5_input: perdeu D1.
v5_validado -> v6_recebido,P7,retirada_cond_corr_ltp@L4_L5,numeric,,value_type (D1) AUSENTE,sim,v6 recebido derivado do v5_input: perdeu D1.
v5_validado -> v6_recebido,P8,retirada_cond_corr_ltp@L6_L7,numeric,,value_type (D1) AUSENTE,sim,v6 recebido derivado do v5_input: perdeu D1.
v5_validado -> v6_recebido,P9,lth@L1_L7,numeric,,value_type (D1) AUSENTE,sim,v6 recebido derivado do v5_input: perdeu D1.
v5_validado -> v6_recebido,P10,lth_grupo@L1_L3,numeric,,value_type (D1) AUSENTE,sim,v6 recebido derivado do v5_input: perdeu D1.
v5_validado -> v6_recebido,P11,lth_grupo@L4_L5,numeric,,value_type (D1) AUSENTE,sim,v6 recebido derivado do v5_input: perdeu D1.
v5_validado -> v6_recebido,P12,lth_grupo@L6_L7,numeric,,value_type (D1) AUSENTE,sim,v6 recebido derivado do v5_input: perdeu D1.
v5_validado -> v6_recebido,P13,fator_retirada_cond_corr_lth@L1_L3,numeric,,value_type (D1) AUSENTE,sim,v6 recebido derivado do v5_input: perdeu D1.
v5_validado -> v6_recebido,P14,fator_retirada_cond_corr_lth@L4_L5,numeric,,value_type (D1) AUSENTE,sim,v6 recebido derivado do v5_input: perdeu D1.
v5_validado -> v6_recebido,P15,fator_retirada_cond_corr_lth@L6_L7,numeric,,value_type (D1) AUSENTE,sim,v6 recebido derivado do v5_input: perdeu D1.
v5_validado -> v6_recebido,P16,retirada_cond_corr_lth@L1_L3,numeric,,value_type (D1) AUSENTE,sim,v6 recebido derivado do v5_input: perdeu D1.
v5_validado -> v6_recebido,P17,retirada_cond_corr_lth@L4_L5,numeric,,value_type (D1) AUSENTE,sim,v6 recebido derivado do v5_input: perdeu D1.
v5_validado -> v6_recebido,P18,retirada_cond_corr_lth@L6_L7,numeric,,value_type (D1) AUSENTE,sim,v6 recebido derivado do v5_input: perdeu D1.
v5_validado -> v6_recebido,P19,valor_retirada@L1,numeric,,value_type (D1) AUSENTE,sim,v6 recebido derivado do v5_input: perdeu D1.
v5_validado -> v6_recebido,P20,valor_retirada@L2,numeric,,value_type (D1) AUSENTE,sim,v6 recebido derivado do v5_input: perdeu D1.
v5_validado -> v6_recebido,P21,valor_retirada@L3,numeric,,value_type (D1) AUSENTE,sim,v6 recebido derivado do v5_input: perdeu D1.
v5_validado -> v6_recebido,P22,retirada_condensado_grupo@L1_L3,numeric,,value_type (D1) AUSENTE,sim,v6 recebido derivado do v5_input: perdeu D1.
v5_validado -> v6_recebido,P23,retirada_condensado_grupo@L1_L3,numeric,,value_type (D1) AUSENTE,sim,v6 recebido derivado do v5_input: perdeu D1.
v5_validado -> v6_recebido,P24,retirada_condensado_grupo@L1_L3,numeric,,value_type (D1) AUSENTE,sim,v6 recebido derivado do v5_input: perdeu D1.
v5_validado -> v6_recebido,P25,hes_l4@L4,categorical,,value_type (D1) AUSENTE,sim,v6 recebido derivado do v5_input: perdeu D1.
v5_validado -> v6_recebido,P26,hes_l5@L5,categorical,,value_type (D1) AUSENTE,sim,v6 recebido derivado do v5_input: perdeu D1.
v5_validado -> v6_recebido,P27,hes_l6@L6,categorical,,value_type (D1) AUSENTE,sim,v6 recebido derivado do v5_input: perdeu D1.
v5_validado -> v6_recebido,P28,hes_l7@L7,categorical,,value_type (D1) AUSENTE,sim,v6 recebido derivado do v5_input: perdeu D1.
v5_validado -> v6_recebido,P29,desconto_retirada_41c@L4_L5,numeric,,value_type (D1) AUSENTE,sim,v6 recebido derivado do v5_input: perdeu D1.
v5_validado -> v6_recebido,K30,desconto_retirada_41c@L6_L7,Forecast A41!C27,Forecast A41!C28,source_reference,sim,Decisão 41c/41d do usuário.
v5_validado -> v6_recebido,P30,desconto_retirada_41c@L6_L7,numeric,,value_type (D1) AUSENTE,sim,v6 recebido derivado do v5_input: perdeu D1.
v5_validado -> v6_recebido,K31,desconto_retirada_41d@L4_L5,Forecast A41!C26,Forecast A41!C27,source_reference,sim,Decisão 41c/41d do usuário.
v5_validado -> v6_recebido,P31,desconto_retirada_41d@L4_L5,numeric,,value_type (D1) AUSENTE,sim,v6 recebido derivado do v5_input: perdeu D1.
v5_validado -> v6_recebido,M39,retirada_condensado_grupo@L4_L5,"(
    (100 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2))
    if hes_l4@L4 == ""Normal"" and hes_l5@L5 == ""Normal""
    else (
        (
            (
                (100 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2)) * 14
                + (
                    (100 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2)) / 2
                ) * 10
            ) / 24
        )
        if hes_l4@L4 == ""LC"" or hes_l5@L5 == ""LC""
        else (
            50 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2)
        )
        if hes_l4@L4 == ""Overhaul/Parada"" or hes_l5@L5 == ""Overhaul/Parada""
        else (
            100
            - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2)
            - desconto_retirada_41d
        )
        if hes_l4@L4 == ""1 By pass"" or hes_l5@L5 == ""1 By pass""
        else (
            (
                (
                    (100 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2)) * 14
                    + (
                        (
                            (100 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2))
                            - desconto_retirada_41c
                        ) / 2
                    ) * 10
                ) / 24
            )
            if hes_l4@L4 == ""1 By pass e LC""
            and hes_l5@L5 == ""1 By pass e LC""
            else ""F""
        )
    )
)","(
    (100 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2))
    if hes_l4 == ""Normal"" and hes_l5 == ""Normal""
    else (
        (
            (
                (100 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2)) * 14
                + (
                    (100 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2)) / 2
                ) * 10
            ) / 24
        )
        if hes_l4 == ""LC"" or hes_l5 == ""LC""
        else (
            50 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2)
        )
        if hes_l4 == ""Overhaul/Parada"" or hes_l5 == ""Overhaul/Parada""
        else (
            100
            - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2)
            - desconto_retirada_41d
        )
        if hes_l4 == ""1 By pass"" or hes_l5 == ""1 By pass""
        else (
            (
                (
                    (100 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2)) * 14
                    + (
                        (
                            (100 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2))
                            - desconto_retirada_41c
                        ) / 2
                    ) * 10
                ) / 24
            )
            if hes_l4 == ""1 By pass e LC""
            and hes_l5 == ""1 By pass e LC""
            else ""F""
        )
    )
)",expression (D2) AUSENTE,sim,v6 recebido derivado do v5_input: perdeu D2.
v5_validado -> v6_recebido,P39,retirada_condensado_grupo@L4_L5,numeric,,value_type (D1) AUSENTE,sim,v6 recebido derivado do v5_input: perdeu D1.
v5_validado -> v6_recebido,P40,retirada_condensado_grupo@L4_L5,numeric,,value_type (D1) AUSENTE,sim,v6 recebido derivado do v5_input: perdeu D1.
v5_validado -> v6_recebido,P41,retirada_condensado_grupo@L4_L5,numeric,,value_type (D1) AUSENTE,sim,v6 recebido derivado do v5_input: perdeu D1.
v5_validado -> v6_recebido,M42,retirada_condensado_grupo@L6_L7,"(
    (100 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2))
    if hes_l6@L6 == ""Normal"" and hes_l7@L7 == ""Normal""
    else (
        (
            (
                (100 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2)) * 14
                + (
                    (100 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2)) / 2
                ) * 10
            ) / 24
        )
        if hes_l6@L6 == ""LC"" or hes_l7@L7 == ""LC""
        else (
            50 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2)
        )
        if hes_l6@L6 == ""Overhaul/Parada"" or hes_l7@L7 == ""Overhaul/Parada""
        else (
            100
            - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2)
            - desconto_retirada_41c
        )
        if hes_l6@L6 == ""1 By pass"" or hes_l7@L7 == ""1 By pass""
        else (
            (
                (
                    (100 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2)) * 14
                    + (
                        (
                            (100 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2))
                            - desconto_retirada_41c
                        ) / 2
                    ) * 10
                ) / 24
            )
            if hes_l6@L6 == ""1 By pass e LC""
            and hes_l7@L7 == ""1 By pass e LC""
            else ""F""
        )
    )
)","(
    (100 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2))
    if hes_l6 == ""Normal"" and hes_l7 == ""Normal""
    else (
        (
            (
                (100 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2)) * 14
                + (
                    (100 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2)) / 2
                ) * 10
            ) / 24
        )
        if hes_l6 == ""LC"" or hes_l7 == ""LC""
        else (
            50 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2)
        )
        if hes_l6 == ""Overhaul/Parada"" or hes_l7 == ""Overhaul/Parada""
        else (
            100
            - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2)
            - desconto_retirada_41c
        )
        if hes_l6 == ""1 By pass"" or hes_l7 == ""1 By pass""
        else (
            (
                (
                    (100 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2)) * 14
                    + (
                        (
                            (100 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2))
                            - desconto_retirada_41c
                        ) / 2
                    ) * 10
                ) / 24
            )
            if hes_l6 == ""1 By pass e LC""
            and hes_l7 == ""1 By pass e LC""
            else ""F""
        )
    )
)",expression (D2) AUSENTE,sim,v6 recebido derivado do v5_input: perdeu D2.
v5_validado -> v6_recebido,P42,retirada_condensado_grupo@L6_L7,numeric,,value_type (D1) AUSENTE,sim,v6 recebido derivado do v5_input: perdeu D1.
v5_validado -> v6_recebido,P43,retirada_condensado_grupo@L6_L7,numeric,,value_type (D1) AUSENTE,sim,v6 recebido derivado do v5_input: perdeu D1.
v5_validado -> v6_recebido,P44,retirada_condensado_grupo@L6_L7,numeric,,value_type (D1) AUSENTE,sim,v6 recebido derivado do v5_input: perdeu D1.
v5_validado -> v6_recebido,P45,retirada_condensado_linha@L1,numeric,,value_type (D1) AUSENTE,sim,v6 recebido derivado do v5_input: perdeu D1.
v5_validado -> v6_recebido,P46,retirada_condensado_linha@L2,numeric,,value_type (D1) AUSENTE,sim,v6 recebido derivado do v5_input: perdeu D1.
v5_validado -> v6_recebido,P47,retirada_condensado_linha@L3,numeric,,value_type (D1) AUSENTE,sim,v6 recebido derivado do v5_input: perdeu D1.
v5_validado -> v6_recebido,P48,retirada_condensado_linha@L4,numeric,,value_type (D1) AUSENTE,sim,v6 recebido derivado do v5_input: perdeu D1.
v5_validado -> v6_recebido,P49,retirada_condensado_linha@L5,numeric,,value_type (D1) AUSENTE,sim,v6 recebido derivado do v5_input: perdeu D1.
v5_validado -> v6_recebido,P50,retirada_condensado_linha@L6,numeric,,value_type (D1) AUSENTE,sim,v6 recebido derivado do v5_input: perdeu D1.
v5_validado -> v6_recebido,P51,retirada_condensado_linha@L7,numeric,,value_type (D1) AUSENTE,sim,v6 recebido derivado do v5_input: perdeu D1.
v5_validado -> v6_recebido,P52,retirada_condensado_linha@L1_L7,numeric,,value_type (D1) AUSENTE,sim,v6 recebido derivado do v5_input: perdeu D1.
v5_validado -> v6_recebido,P53,retirada_condensado_linha@L1_L7,numeric,,value_type (D1) AUSENTE,sim,v6 recebido derivado do v5_input: perdeu D1.
v5_validado -> v6_recebido,P54,retirada_condensado_total@L1_L7,numeric,,value_type (D1) AUSENTE,sim,v6 recebido derivado do v5_input: perdeu D1.
v5_validado -> v6_recebido,P55,retirada_condensado_total@L1_L7,numeric,,value_type (D1) AUSENTE,sim,v6 recebido derivado do v5_input: perdeu D1.
v5_validado -> v6_recebido,P56,retirada_condensado_total@L1_L7,numeric,,value_type (D1) AUSENTE,sim,v6 recebido derivado do v5_input: perdeu D1.
v6_recebido -> v6_validado,P1,(cabeçalho),,Variables,value_type (D1) reaplicado,sim,Correção mínima do fechamento da Etapa 2.
v6_recebido -> v6_validado,P2,(cabeçalho),,value_type,value_type (D1) reaplicado,sim,Correção mínima do fechamento da Etapa 2.
v6_recebido -> v6_validado,P3,vazao_ltp@L1_L3,,numeric,value_type (D1) reaplicado,sim,Correção mínima do fechamento da Etapa 2.
v6_recebido -> v6_validado,P4,vazao_ltp@L4_L5,,numeric,value_type (D1) reaplicado,sim,Correção mínima do fechamento da Etapa 2.
v6_recebido -> v6_validado,P5,vazao_ltp@L6_L7,,numeric,value_type (D1) reaplicado,sim,Correção mínima do fechamento da Etapa 2.
v6_recebido -> v6_validado,P6,retirada_cond_corr_ltp@L1_L3,,numeric,value_type (D1) reaplicado,sim,Correção mínima do fechamento da Etapa 2.
v6_recebido -> v6_validado,P7,retirada_cond_corr_ltp@L4_L5,,numeric,value_type (D1) reaplicado,sim,Correção mínima do fechamento da Etapa 2.
v6_recebido -> v6_validado,P8,retirada_cond_corr_ltp@L6_L7,,numeric,value_type (D1) reaplicado,sim,Correção mínima do fechamento da Etapa 2.
v6_recebido -> v6_validado,P9,lth@L1_L7,,numeric,value_type (D1) reaplicado,sim,Correção mínima do fechamento da Etapa 2.
v6_recebido -> v6_validado,P10,lth_grupo@L1_L3,,numeric,value_type (D1) reaplicado,sim,Correção mínima do fechamento da Etapa 2.
v6_recebido -> v6_validado,P11,lth_grupo@L4_L5,,numeric,value_type (D1) reaplicado,sim,Correção mínima do fechamento da Etapa 2.
v6_recebido -> v6_validado,P12,lth_grupo@L6_L7,,numeric,value_type (D1) reaplicado,sim,Correção mínima do fechamento da Etapa 2.
v6_recebido -> v6_validado,P13,fator_retirada_cond_corr_lth@L1_L3,,numeric,value_type (D1) reaplicado,sim,Correção mínima do fechamento da Etapa 2.
v6_recebido -> v6_validado,P14,fator_retirada_cond_corr_lth@L4_L5,,numeric,value_type (D1) reaplicado,sim,Correção mínima do fechamento da Etapa 2.
v6_recebido -> v6_validado,P15,fator_retirada_cond_corr_lth@L6_L7,,numeric,value_type (D1) reaplicado,sim,Correção mínima do fechamento da Etapa 2.
v6_recebido -> v6_validado,P16,retirada_cond_corr_lth@L1_L3,,numeric,value_type (D1) reaplicado,sim,Correção mínima do fechamento da Etapa 2.
v6_recebido -> v6_validado,P17,retirada_cond_corr_lth@L4_L5,,numeric,value_type (D1) reaplicado,sim,Correção mínima do fechamento da Etapa 2.
v6_recebido -> v6_validado,P18,retirada_cond_corr_lth@L6_L7,,numeric,value_type (D1) reaplicado,sim,Correção mínima do fechamento da Etapa 2.
v6_recebido -> v6_validado,P19,valor_retirada@L1,,numeric,value_type (D1) reaplicado,sim,Correção mínima do fechamento da Etapa 2.
v6_recebido -> v6_validado,P20,valor_retirada@L2,,numeric,value_type (D1) reaplicado,sim,Correção mínima do fechamento da Etapa 2.
v6_recebido -> v6_validado,P21,valor_retirada@L3,,numeric,value_type (D1) reaplicado,sim,Correção mínima do fechamento da Etapa 2.
v6_recebido -> v6_validado,P22,retirada_condensado_grupo@L1_L3,,numeric,value_type (D1) reaplicado,sim,Correção mínima do fechamento da Etapa 2.
v6_recebido -> v6_validado,P23,retirada_condensado_grupo@L1_L3,,numeric,value_type (D1) reaplicado,sim,Correção mínima do fechamento da Etapa 2.
v6_recebido -> v6_validado,P24,retirada_condensado_grupo@L1_L3,,numeric,value_type (D1) reaplicado,sim,Correção mínima do fechamento da Etapa 2.
v6_recebido -> v6_validado,P25,hes_l4@L4,,categorical,value_type (D1) reaplicado,sim,Correção mínima do fechamento da Etapa 2.
v6_recebido -> v6_validado,P26,hes_l5@L5,,categorical,value_type (D1) reaplicado,sim,Correção mínima do fechamento da Etapa 2.
v6_recebido -> v6_validado,P27,hes_l6@L6,,categorical,value_type (D1) reaplicado,sim,Correção mínima do fechamento da Etapa 2.
v6_recebido -> v6_validado,P28,hes_l7@L7,,categorical,value_type (D1) reaplicado,sim,Correção mínima do fechamento da Etapa 2.
v6_recebido -> v6_validado,P29,desconto_retirada_41c@L4_L5,,numeric,value_type (D1) reaplicado,sim,Correção mínima do fechamento da Etapa 2.
v6_recebido -> v6_validado,P30,desconto_retirada_41c@L6_L7,,numeric,value_type (D1) reaplicado,sim,Correção mínima do fechamento da Etapa 2.
v6_recebido -> v6_validado,P31,desconto_retirada_41d@L4_L5,,numeric,value_type (D1) reaplicado,sim,Correção mínima do fechamento da Etapa 2.
v6_recebido -> v6_validado,M39,retirada_condensado_grupo@L4_L5,"(
    (100 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2))
    if hes_l4 == ""Normal"" and hes_l5 == ""Normal""
    else (
        (
            (
                (100 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2)) * 14
                + (
                    (100 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2)) / 2
                ) * 10
            ) / 24
        )
        if hes_l4 == ""LC"" or hes_l5 == ""LC""
        else (
            50 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2)
        )
        if hes_l4 == ""Overhaul/Parada"" or hes_l5 == ""Overhaul/Parada""
        else (
            100
            - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2)
            - desconto_retirada_41d
        )
        if hes_l4 == ""1 By pass"" or hes_l5 == ""1 By pass""
        else (
            (
                (
                    (100 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2)) * 14
                    + (
                        (
                            (100 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2))
                            - desconto_retirada_41c
                        ) / 2
                    ) * 10
                ) / 24
            )
            if hes_l4 == ""1 By pass e LC""
            and hes_l5 == ""1 By pass e LC""
            else ""F""
        )
    )
)","(
    (100 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2))
    if hes_l4@L4 == ""Normal"" and hes_l5@L5 == ""Normal""
    else (
        (
            (
                (100 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2)) * 14
                + (
                    (100 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2)) / 2
                ) * 10
            ) / 24
        )
        if hes_l4@L4 == ""LC"" or hes_l5@L5 == ""LC""
        else (
            50 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2)
        )
        if hes_l4@L4 == ""Overhaul/Parada"" or hes_l5@L5 == ""Overhaul/Parada""
        else (
            100
            - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2)
            - desconto_retirada_41d
        )
        if hes_l4@L4 == ""1 By pass"" or hes_l5@L5 == ""1 By pass""
        else (
            (
                (
                    (100 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2)) * 14
                    + (
                        (
                            (100 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2))
                            - desconto_retirada_41c
                        ) / 2
                    ) * 10
                ) / 24
            )
            if hes_l4@L4 == ""1 By pass e LC""
            and hes_l5@L5 == ""1 By pass e LC""
            else ""F""
        )
    )
)",expression (D2) reaplicada,sim,Correção mínima do fechamento da Etapa 2.
v6_recebido -> v6_validado,P39,retirada_condensado_grupo@L4_L5,,numeric,value_type (D1) reaplicado,sim,Correção mínima do fechamento da Etapa 2.
